地名,地名ID,英文地名,去过人数,描述,当地top1,当地top2,当地top3
中山古镇,123,Zhongshan,1447,中山古镇俗称三合场，又名龙洞场，地处江津市南部山区，古镇背山临水，场镇建筑靠水而建，由龙洞、荒中坝、高升桥三条小街连接而成。中山镇历来是商贸繁荣的水陆码头，贵州、綦江、合江等地的产品物资大都集中于此交易。中山古镇保存着许多历史人文景观，如七百米古街、迎恩门古城墙、武侯祠、东平王庙、相公塔、永安桥、朱德旧居等，还拥有十里翠竹、龙岩雨霁、聚仙岩等秀美、奇异的自然景观。,江津爱情天梯,朱家嘴庄园,龙塘古庄园
博罗,124,Boluo,1041,博罗县位于广东省东南部，珠江三角洲东北部，是珠三角最大的可连片开发的县区，是珠三角和穗港经济圈的重要组成部分。客家文化、南粤文化在博罗县相互辉映交融，使博罗积淀了深厚的文化底蕴。境内的罗浮山，集道、佛两教于一山，融自然景观与人文景观于一体，是中国道教十大名山之一，素有“岭南第一山”和“中国道教圣地”之美称。此外，还有元音古寺、银岗古窑场遗址、九天观、洗药池、平安山，象头山等景点。,罗浮山,博罗哈施塔特小镇,飞云顶
三门,125,Sanmen,1441,三门县为浙江省台州市下辖的一个县，位于台州市沿海北部，西枕天台山、东濒三门湾、北邻宁波市宁海县、南毗临海市，地处中国“黄金海岸线”中段，北接宁波，南连温州，为上海经济区南翼。作为一个沿海县城，三门县，资源优势得天独厚，水产资源丰富，，是浙江省海水养殖第一大县，被命名为中国青蟹之乡，浙江对虾之乡、牡蛎之乡、缢蛏之乡。境内大小岛屿122个，有“海上仙子国”之美称。境内的旅游景点有，蛇蟠岛旅游区、亭旁起义纪念馆、江南唯一一个藏传密宗禅林—多宝讲寺、湫水大峡谷等。,蛇蟠岛,台州三门,木杓海滩
长沙县,126,Changsha,1307,长沙县别称“星沙”，自古为“三湘首善”，在全国中小城市综合实力百强县排名中，长沙县列第13位。长沙县位于湖南省东部，处于长株潭“两型社会”综合配套改革试验区的核心地带。,杨开慧纪念馆,浔龙河生态艺术小镇,徐特立公园
连城,127,Lian cheng,1145,连城县，简称“莲”，别名莲城，是一座集绿色生态游、民俗文化游与美食旅游于一体的热门目的地。冠豸山风景区集山、水、岩、洞、泉、寺、园诸神秀于一身；梅花山自然保护区是享誉全球的国家级森林和野生动物类型自然保护区，被中外专家称为“北回归荒漠带上的翡翠”；仙云洞、幽琴洞、石燕岩等组成仙境般的赖源溶洞。民俗文化主要有：连城四堡、培田古民居、客家大宅门、中华山性海寺和望云草室等。连城的美食也是值得一提的，不仅种类繁多，而且味美价廉，主要有连城红心地瓜干、连城白鸭、捆板、涮九品、芋子饺、四堡漾豆腐、雪花鱼糕等。,连城冠豸山,培田古民居,石门湖
磐安,128,pan'an,1523,磐安是浙江雁荡山、括苍山、会稽山和仙霞岭的发脉处，也是钱塘江、瓯江、灵江和曹娥江四大水系的主要发源地之一，素有“群山之祖、诸水之源”之称，南宋诗人陆游在磐安留下了“山重水复疑无路，柳暗花明又一村”的千古佳句。磐安还是著名的中国药材之乡、中国香菇之乡、中国生态龙井之乡、中国香榧之乡、中国舞龙发源地、国家生态县。环境优美、人文昌盛、物产丰富，磐安是华东地区最“绿”的地方。,磐安十八涡,乌石村,舞龙峡
九龙,129,Jiulong,1495,九龙县地处攀西平原与青藏高原的过渡地带，有“一山分四季，十里不同天”之说。境内山川秀丽，景色迷人。从地理、自然、经济和社会全方位概括，具有以下五个之“最”。—是中国西部自然特征最为明显的县份之一；二是中国西部民俗文化最为独特的县份之一；三是中国西部生态资源最为富集的县份之一；四是中国西部生态系统保存最为完好的县份之一；五是中国藏区地理环境、战略地位最为突出的县份之一。,伍须海,仙女湖,鸡丑山
阿拉善左旗,130,Alxa Left Banner,1308,阿拉善左旗地处于内蒙古自治区西部，蒙古语意为“金黄色的马”，幅员广阔，地形地貌复杂，旗内的贺兰山国家级自然保护区有原始次生林54万亩，是内蒙古自治区乃至西北的天然生态屏障。阿拉善蒙古族素以热情好客著称，独特的民风民俗令人印象深刻。,腾格里沙漠,腾格里沙漠月亮湖,南寺风景区
广汉,131,Guanghan,1177,有“成都后花园”之称的广义市位于“天府之国”成都平原腹心地带，地势平坦，气候温和宜人，土地肥沃，河流纵横，风光旖旎。自然资源丰富，旅游业发达，人才辈出，是一座熠熠生辉的城市，散发着夺目的光彩。广汉市位于“天府之国”成都平原腹心地带，北临德阳市区17公里，南距成都市区23公里，自古有“蜀省之要衢，通京之孔道”之说。境内地势平坦，气候温和，河流纵横，土地肥沃，市容整洁，风光秀丽，被誉为“成都的后花园”。广汉是“四川省经济综合实力十强县”之一，也是成都都市圈、成绵乐经济带，成都半小时经济圈重要组成部分，经济以工业为主，第三产业蓬勃发展。,广汉三星堆博物馆,雒城,松林桃花
石狮,132,Shishi,1086,石狮为中国福建省下辖县级市，由泉州地级市代管，于1987年12月自晋江县析置。石狮是亚洲最大服装城、福建综合改革试验区、著名侨乡。,石狮黄金海岸,永宁古镇,姑嫂塔
宁乡,133,Ningxiang County,1278,宁乡山奇水秀，风光独特。境内自然风光秀丽，拥有灰汤温泉养生之奇、沩山风景名胜区等著名景区景观。回龙山千年古刹白云寺，全国百大名寺之一，相传清朝乾隆皇帝曾游览至此，并题写“回龙望祖”，戍边名将左宗棠曾亲笔题赠“南楚灵山”。刘少奇故居为全国重点文物保护单位，被国家旅游局评为首批“4A”级旅游区。云山书院是湘中革命的摇篮，从这里走出了何叔衡、谢觉哉、姜梦周、王凌波、甘泗琪等风流人物。古朴幽深的大夫堂相传是楚文化的遗址，古城墙、护城河依稀可辨。,宁乡炭河古城,花明楼,密印寺
抚松,134,Fusong,1381,抚松县位于中国吉林省东南部，松花江上游，长白山西北麓，境内群山起伏，森林茂密，由于自然条件得天独厚，利于人参的生长，抚松县是人参主要产地之一，被誉为最著名的“人参之乡”。抚松县境内奇峰林立，江河纵横，有浩瀚的长白山原始森林，壮观的火山山脉，密布的火山矿泉，独特的冰雪风光，温泉度假村，露水河国际狩猎场等。特别是以长白山西坡自然景观为依托的旅游，每年吸引大量游客前来。,西坡天池,长白山西坡,长白山大峡谷
涪陵,135,fuling,1224,涪陵区是重庆市下辖区，三峡库区腹地，位于长江、乌江交汇处，有川东南门户之称。涪陵区自然条件好，人文资源丰富。涪陵榨菜、涪陵水牛、涪陵红心萝卜是闻名海内外的三大特产；程朱理学“点易洞”、水底碑林白鹤梁是名闻中外的名胜古迹。涪陵因乌江古称涪水，巴国先王陵墓多葬于此而得名。,816地下核工程,大木花谷,武陵大裂谷
金秀,136,Jinxiu,1358,金秀瑶族自治县地处桂中东部的大瑶山，成立于1952年5月，是全国最早成立的瑶族自治县。金秀瑶族自治县位于广西壮族自治区中部偏东，地跨东经109度50分——110度27分，北纬23度40分——24度28分之间。[3]金秀瑶族自治县地处桂中东部的大瑶山，323国道过境。截至2009年，全县土地总面积518平方公里，其中山区面积2080平方公里，占全县总面积的80%。森林面积319.35万亩，森林覆盖率87.34%。耕地面积1.44万公顷。重要矿产资源有重晶石、硅、花岗岩、彩色大理石、铜、金和铁。土特产品有灵香草、八角、绞股蓝、黄笋、甜茶、香菇、木耳等。,圣堂山,莲花山旅游风景区,圣堂湖风景区
赤城,137,chicheng countycicheng,1239,赤城县位于北京北部，河北省西北部，是张家口市第一大县。赤城地区气候全年平均气温在12.6℃～26.1℃之间，有“取暖不用煤，纳凉不摇扇”之誉。赤城的温泉较有名气，其中赤城温泉在郦道元《水经注》已有记载，被誉为“关外第一泉”。此外，赤城还有大海陀自然保护区、朝阳观石窟、塘子庙温泉、恐龙足迹化石群、龙门峡摩崖石刻、长春沟塔群、黑龙潭瀑布等多处历史自然景观。,海坨山,冰山梁风景区,黑龙山森林公园
通道,138,Tongdao,1508,通道全称通道侗族自治县，位于湖南西南部，怀化市南端，是湖南最早成立的以侗族为主体，侗、汉、苗、瑶等多民族和睦共处的自治县。通道在历史上为楚越分界的走廊地带，素有“南楚极地”、“百越襟喉”之称。通道侗民族文化源远流长，民风古雅淳朴，自然风光秀美如画，境内林海莽莽，溪河清澈，自然景观美不胜收。通道还是一块红色圣地，拥有大量红军文物和遗迹。此外，通道文物众多，人文景观也是丰富多彩，是出行旅游的上佳选择。,万佛山,芋头侗寨古建筑群,皇都侗寨
洪湖,139,Honghu City,1839,洪湖市位于湖北省中南部，长江与东荆河之间，境内有大小湖泊102个，以其境内最大的湖泊——洪湖而命名。洪湖历史悠久，湖光碧波，有不少名胜古迹，旅游资源一枝独秀。不仅有三国“赤壁之战”火烧乌林的古战场、成吉思汗的后裔阿里不哥隐居的陆庄、瞿家湾的明清建筑一条街、湘鄂西革命烈士纪念馆；还有国家级珍稀动物白鳍豚自然保护区和省有洪湖湿地自然保护区；洪湖以其秀丽的湖光水色和灿烂的人文景观吸引了无数游客。,洪湖蓝田生态旅游风景区,瞿家湾革命纪念地,湘鄂西革命根据地纪念馆
琼中,140,Qiongzhong,1846,琼中黎族苗族自治县地处海南岛中部，五指山北麓，东与琼海市、万宁市交界，西与白沙黎族自治县、五指山市相连，南与保亭黎族苗族自治县、陵水黎族自治县接壤，北与儋州市、澄迈县、屯昌县毗邻。琼中为热带气候，动植物资源丰富，其中黎母山森林公园位于琼中县境内西北部，山势险峻、林海茫茫，既是海南的名山，又是黎族人民的始祖山，它拥有丰富的热带天然林，山清水秀、风光旖旎，是一个热带植物王国，也是野生动物的乐园，此外，境内的百花岭瀑布也很值得一去。,黎母山,白沙起义纪念园,百花岭风景名胜旅游区
澄迈,141,Chengmai,1335,澄迈县位于海南岛的西北部，毗邻省会海口市，与广东雷州半岛隔海相望。自西汉元封元年（公元前110年）置县，至今已有2100多年，史脉久远、人文炽盛，因古县治老城有“澄江”、“迈山”，故取山水名之首定县名为“澄迈”。著名景点有福山咖啡文化风情镇、红坎岭陶艺园、美榔姐妹塔等。,罗驿古村,美榔双塔,福山咖啡文化风情镇
同仁,142,Tong ren,1632,同仁位于青海省东部，在1949年以前的五百多年里，均由藏传佛教实行政教合一统治，并产生出了“热贡艺术”。数百年来，这里有大批艺人从事民间佛教绘塑艺术，其从艺人员之众多、群体技艺之精到，都为其它藏区所少见，故被誉为“藏族画家之乡”。在同仁，几乎每户人家都会画唐卡，每个村落都有精美的藏寺，到同仁的旅行者大多也都是为了热贡艺术而来。,隆务寺,吾屯下寺,热贡艺术馆
修武,143,Xiuwu County,1316,修武县是河南省焦作市下属的一个县。商朝时名寗邑，周武王伐纣途中曾在此地驻扎练武，故得名。位于河南省西北部，太行山南麓，西连焦作市，北接山西省陵川县，南邻武陟县，东和东北与获嘉县、辉县市毗邻。修武县历史悠久，自秦始皇兼并六国，设修武县至今，县名一直未变，2006年被联合国地名专家组中国分部授予“千年古县”称号。境内有李固龙山文化遗址，当阳峪瓷窑遗址，韩愈墓，胜果寺和胜果寺塔等历史文化遗址。风景秀丽，有全球首批世界地质公园、国家5A级景区云台山。,云台山,红石峡,茱萸峰
久治,144,jiuzhi county,1276,久治县是青海省果洛藏族自治州辖县，位于州境东南部，东南与四川省接壤，东北与甘肃省相邻。久治县有着久远的藏传佛教文化，全县现有藏传佛教寺院11座，有宁玛、格鲁、觉囊、格鲁派等多种派系寺院县宁玛派寺院有7座，白玉寺是国内藏区享有较高盛誉的宁玛派寺院，历史悠久，在佛教发展历史中有过不小的功绩，在国内藏区都颇有影响。这里为宗教朝觐和宗教文化旅游提供了重要场所，极其适合旅游及宗教研究。,年保玉则景区,仙女湖(希门错),妖女湖
榕江,145,RongJiang,1327,榕江县是贵州黔东南州下辖的一个县，位于贵州东南部，处在都柳江、榕江、车江的会合点上。江边多榕树故称榕江，古代称古州，为江南八百州之一。是贵州省唯一一个地跨月亮山、雷公山的县份。东邻黎平县、从江县，西与雷山县、三都县接壤，北界剑河县，南接荔波县。境内有侗、水、苗、汉等民族，民族文化底蕴深厚，民族风情原始古朴、原汁原味，旅游资源丰富。榕江还被认为是是苗、侗文化祖源地。境内最著名景点的是全国最大的侗族聚居地，有“千户侗寨”之称的车江三宝侗寨。还有摆贝苗寨、空申超短裙苗寨、晚寨侗寨等民族村寨。,大利侗寨,车江三宝侗寨,宰荡侗寨
汝城,146,Rucheng District,1407,汝城县，隶属于湖南省郴州市，与广东、江西两省接壤，有“毗连三省，水注三江（湘江、珠江、赣江）”之美称。汝城森林覆盖率73.69%，保有原始次生林13万亩，是湖南省重点林区县。境内的热水温泉是华南地区“流量最大、水温最高、水质最好、面积最广”的天然热泉，建有国家AAAA级旅游景区—福泉山庄；九龙江国家森林公园拥有华南地区保存最好、物种最多的原始次生林，被誉为“南岭植物王国”。汝城是省级历史文化名城，“汝城香火龙”入选国家级非物质文化遗产。理学家周敦颐在此著就《爱莲说》等名篇。毛泽东、朱德等老一辈无产阶级革命家曾在这里留下光辉足迹，被省政府认定为革命老游击区和第一批井冈山老区县。,湖南九龙江国家森林公园,汝城温泉文化园,湖南万时山
鹤庆,147,Heqing Country,1152,鹤庆县是云南省大理白族自治州下属的一个县，位于云南省西北部，大理白族自治州北部，是大理州的北大门。东有金沙江与永胜县分津，南与宾川县接界，西与剑川县、洱源县接壤，北与丽江市毗连。鹤庆县山川秀美，资源丰富，被誉为“泉潭之乡”、“鱼米之乡”、“中国名兰之乡”。境内旅游资源丰富，最著名的景点是银都水乡——新华村。新华村是一个集田园风光、民居、民俗和民族手工艺品生产加工为一体的典型白族聚居村寨。此外还有螺峰公园、天华洞、龙华十八寺、大龙潭旅游度假山庄、云鹤楼、文庙等景点。,石宝山,银都水乡,新华村
西湖乡,148,Xihu,1221,在西湖乡你要这样玩：先来赏桐花，顺便可探访苗栗县著名的数条古道－三湾铜镜古道、南庄圆舞场古道、狮潭凤鸣古道、公馆出矿坑古道、通宵挑盐古道和苑里香茅古道，而金龙窑和西湖度假村、挑柴古道、挑炭古道、苗栗陶艺博物馆都是赏桐花时可以顺道一游的旅游景点，不仅可一探桐花的撩人姿态也可享受苗栗的在地风情喔！,格林奇幻森林, , 
浑源,149,Hunyuan County,1112,浑源位于山西省东北部的大同盆地东南边缘，地处桑干河支流浑河中上游，境内古迹荟萃，自然景观较多。拥有李峪青铜器遗址、李峪庙坡彩陶文化遗址、麻庄汉墓群、古长城、古城堡、古峰火台、古磁窑遗址、古州衙等文物胜迹，还有北岳恒山、千佛岭、龙山、卧羊场山、穆桂英山、胡子岭、马鬃崖、翠屏山、抢风岭等自然景观，蜿蜒起伏，奔腾如行，风光旖旎。境内还有被誉为“北方第一泉”的汤头温泉，温泉水含有38种对人体有益的微量元素，具有较高的保健、医疗价值。,悬空寺,恒山,恒山壮观碑
綦江,150,Qijiang,1171,重庆綦江的綦江国家地质公园由木化石、老瀛山、古剑山三个景区组成。当来到古剑山时就感觉仿佛来到了森林氧吧一般，空气的清新是很多山都无法比拟的。而且整个景区的安静让人的心顿时就沉寂下来了，仿佛城市的喧嚣真的远去了。还有丁山湖，它位于綦江区丁山镇，是集人文景观与自然景观于一体的高山湖泊型风景旅游区。主要景点有金山寺、白鹤林、渝贵界碑等。著名的东溪古镇位于綦江区南部，原名万寿场，始建于唐代。2005年，东溪古镇被命名为重庆历史文化名镇。,万盛黑山谷,万盛奥陶纪,东溪古镇
昆仑山,151,Kunlun Mountains,1449,昆仑山西起帕米尔高原东部，东到柴达木河上游谷地，北邻塔里木盆地与柴达木盆地，横贯新疆、西藏间，延伸至青海境内，在中华民族的文化史上具有“万山之祖”的显赫地位，古人称昆仑山为中华“龙脉之祖”，传说是西王母所居住之地。古书载昆仑山是玉龙腾空之地，素有亚洲脊柱之称。,昆仑神泉,西大滩,三岔河特大桥
可可托海,152,Fuyun,1150,富蕴县位于新疆北部，阿尔泰山中段南麓，额尔齐斯河上游，县境内气候宜人，环境优美，是天然的旅游胜地。富蕴县南部有卡拉麦里自然保护区，保护区野生动物种类繁多，还有硅化木、五彩城、滴水泉等；北有高山湖泊、温泉、岩画、石刻等。世界地理界久负盛名的地理三号坑也位于富蕴县，这里有80多种稀有金属矿藏，分层储藏，露天开采，现在还能清晰地看见层层的矿脉，是世界地理学者向往的圣地。,可可托海景区,可可苏里,可可托海白桦林
柯桥,153,Keqiao,1178,"柯桥区地处浙江省绍兴市北部富庶的宁绍平原，素有""金柯桥""之美称，极具""东方威尼斯""之特色。柯桥文化底蕴厚重，千年历史，物竞风流，古街、纤道、雨廊，勾勒出浓郁的水乡风情。拥有亚洲最大的布匹集散中心--中国轻纺城，可谓""赤橙黄绿紫五彩缤纷，东西南北中万商云集""。",柯岩风景区,安昌古镇,兰亭景区
绥化,154,Suihua City,1672,绥化市位于黑龙江省中南部，松嫩平原的呼兰河流域，其地域轮廓犹如在松花江、 嫩江汇合段上跃向小兴安岭西麓的一条鲤鱼，斜卧在黑龙江大地上。西部为广阔的草原，江河沟泡遍布全区，动植物资源十分丰富。金斗湾旅游区是以森林、湖泊、河流、田间风光为主体，集休闲度假、健身娱乐、风光浏览等多功能于一体的综合性生态旅游区。,东林寺,红光寺,海北镇天主教堂
互助,155,Tu Autonomous County of Huzhu,1813,互助县位于青海省东北部，是全国唯一的土族自治县。土族妇女的袖子用红、黄、黑、绿、白等不同颜色拼成，恰似天上彩虹，因此，这里被誉为“彩虹的故乡”。互助土族自治县位于青海省东北部，地处青藏高原与黄土高原结合部，独特的地理位置，使这里形成了独特的自然景观，另外，土族世代在这里繁衍生息，使这里形成了独特的人文景观。这些独特的自然景观和人文景观吸引了众多中外游客前来观光旅游。,互助北山国家森林公园(北山林场),扎龙沟,互助北山国家森林地质公园
比如,156,Biru County,1162,"比如县是那曲地区下辖县，地处那曲地区东部、唐古拉山和念青唐古拉山之间，属怒江上游流域，比如藏语意为""母牦牛群""。地形以以低山丘陵为主，间有高山峡谷，四周冰山雪峰环绕。比如历史悠久，民风古朴，自然景观多姿多彩。境内的景点有，气候宜人，环境优美的羊秀自然风景区，位于曲乡达摩寺内神秘的比如骷髅墙，以及觉沃白宗嘎尔波山等。",骷髅墙,萨普神山,达木寺
川藏北线,157,ChuanZang,1400,川藏北线沿途基本上是沿鲜水河、雅砻江而上，时有草场、峡谷、河水、河原等地形，经过优良的农区，寺院林立，景色奇丽，冰峰雪山美若云中仙子。沿途高原湖泊、雪山、温泉密布，极少有旅游者涉足，是越野探险者推崇的极品线路。川藏线海拔高，人口稀少，景色原始壮丽，以其独特的魅力吸引着越来越多的探险者。,布达拉宫,成都大熊猫繁育研究基地,宽窄巷子
灵石,158,Lingshi,1177,灵石县位于山西省中部，晋中盆地南端，四周群山环绕，山峦重叠，素有“秦晋要道，川陕通衢”之称，乃为晋中通往晋南之咽喉，自古以来就是兵家必争之地。灵石县旅游资源极为丰富，属国家级文物保护的有旌介古遗址、王家大院、资寿寺、晋祠庙、后土庙，省级文物保护单位有静升文庙，石膏山森林公园为国家级森林公园、省级风景名胜区、省级地质公园。王家大院是清代民居建筑的集大成者，由历史上灵石县四大家族之一的太原王氏后裔— 静升王家于清康熙、雍正、乾隆、嘉庆年间先后建成，建筑规模宏大，极具游览价值。,王家大院,红门堡,高家崖
昭苏,159,Zhaosu County,1251,昭苏县为中亚内陆腹地一个群山环抱的高位山间盆地，位于新疆伊犁河上游特克斯河流域，境内有哈、汉、蒙、维、回等21个民族。昭苏因出产“腾昆仑，历西极”的天马，被国家农业部命名为“中国天马之乡”，也因汉朝时著名的“乌孙国”而闻名，是新疆乌孙文化的发源地之一，自然资源和旅游资源都很丰富。有汉室细君公主墓园、富有传奇色彩的夏特古道、吸引各地疗养者的夏特温泉、新疆最大的藏传佛教寺庙－圣佑庙等，此外，昭苏县还因其丰富的资源而被称为“中国油菜之乡”、“中国褐牛之乡”。,夏塔旅游区,昭苏油菜花,阿贡盖提草原石人
永康,160,YongKang,1392,"永康市隶属于浙江省地级市金华市，位于浙江省中部的低山丘陵地区。永康历史悠久，山川秀丽。有黄帝铸鼎的美丽传说，有春秋铸剑，汉造驽机，唐铸铜铳的传统技艺，有山清水秀的田园风光和古朴纯正的乡风民俗，是闻名海内外的""五金之都""和旅游胜地。由于《天龙八部》在永康的顺利拍摄，方岩景区吸引了越来越多的影视制作者，方岩石鼓寮影视城有望成为继东阳横店后，又一个著名影视拍摄基地。",永康方岩,方岩山,五指岩
永川,161,Yongchuan District,1242,重庆永川区地处重庆西部，是重庆规划的第三大城市。永川看头十足，明媚春光里，去风光旖旎的国家森林公园—永川茶山竹海享休闲度假，看相互缠绕的3 万亩茶园和5万亩天然竹林交相辉映；到“春来花飘香，秋到果满山”的永川黄瓜山乡村旅游区赏花、狩猎、体会农家快乐；前往香海温泉泡汤喝茶，享受静谧悠闲时光……在永川不仅仅只有山水，还有充满珍奇野兽的重庆野生动物世界、古香古色的松溉古镇、卫星湖等多处景点，亲近自然、寻找悠长古韵的同时，还可以泛舟于湖上，品尝特色美食。,中国茶山竹海国家森林公园,乐和乐都主题乐园,重庆野生动物园
盘山,162,Panshan Mountain,1095,盘山位于天津市蓟县城西，似一条巨龙，盘桓于京东津北。盘山景色四季各异，以“五峰八石”、“三盘之胜”而奇特称绝。清乾隆皇帝曾 32 次游历盘山，为盘山写下了 1366 首诗词，发出了“早知有盘山， 何必下江南”的感叹。盘山景色秀美，风景迷人，如果运气好的话还可以看到云海。,盘山风景区,蓟县白塔寺,天津天成寺舍利塔
赵县,163,Zhao County,1111,赵县，古称赵州，位居河北省省会石家庄市东南40公里处。赵县位于河北平原，光热充足，地下水丰富，利于井灌，又有石津渠灌溉之利，农业发达，东部为沙质褐土，适于雪花梨生长。赵县共有文物保护单位21处，其中国家及保护文物有安济桥、永通桥、陀罗尼经 幢、大观圣作之碑、柏林寺塔，省保文物有各子汉墓群、宋子城遗址、宋村商周遗址、许家郭汉墓、禅林寺舍利塔、李宪墓。,石家庄赵县赵州桥,柏林禅寺,陀罗尼经幢
乌兰,164,Ulan County,1482,"乌兰县位于青海省海西蒙古族藏族自治州境东部，总面积10,784平方千米，2003年末总人口3.9万。以汉族为主，蒙古族为次，还有藏、回、土等20多个少数民族。此地拥有众多名胜古迹，如都兰寺，察尔汗盐湖等，人们熟知的魔鬼城，这是青海柴达木盆地南八仙、一里坪一带的雅丹地貌群，长达近百公里，宽约数十公里，风蚀残丘，姿态各异， “雅丹”是维吾尔语，意为“风化土堆群”。数千万年的风沙造就了“魔鬼城”神秘莫测、奇幻万千的风蚀土林，使之成为柴达木盆地最有魅力的旅游景点之一。",茶卡盐湖,漠河盐场,茶卡寺
浦江,165,Pujiang,1392,浦江位于浙江中部，金华市北部，历史悠久，至今已有1800多年历史，有“文化之邦”、“书画之乡”之称。有距今万年的“上山文化”遗址，是中国长江下游及东南沿海地区迄今发现的年代最早的新石器时代遗址；自宋迄明，郑氏同居15世，三朝旌表，明太祖朱元璋御赐“江南第一家”。浦江还是远近闻名的毓秀之区、休闲之地，自然景观有白石湾、神丽峡、仙华山等。浦江还有“水晶之都”、“挂锁之城”的称号，工业产业众多，是水晶、挂锁全国最大的产品集散地。,仙华山景区,浦江江南第一家,嵩溪村
小金,166,Zainlha,1384,小金县，旧名懋功，位于四川省西北部，阿坝藏族羌族自治州南端。境内河流众多，水利资源丰富，是长江流域的水源涵养、水土保持的源头之一。小金为藏、羌、回、汉民族杂居区，嘉绒藏族为主体民族，民族风情独特而多样。自然资源十分丰富，旅游资源得天独厚。境内有中国工农红军万里长征徒步翻越的第一座大雪山—夹金山，被海内外游人敬奉为“东方圣山”的四姑娘山国家风景名胜区，夹金山国家级森林公园，巴郎山抚边风景区，美兴镇风景区等景点。还有日隆喇嘛寺、锅庄坪、朝山会会址、清真寺、观音阁、革命烈士纪念塔灯文物古迹。,双桥沟,长坪沟,巴郎山
新郑,167,XinZheng City,1435,新郑的历史可以追溯到上古时代，轩辕黄帝在此建都，黄帝故里是国家4A级景区，景区分为拜祖区、故里祠区、广场区三大区域，每年都有成千上万的海内外炎黄子孙来此寻根拜祖。这里也是中华民族之母——嫘祖的故里，由于她发明了养蚕，所以称为“嫘祖始蚕”，农历六月初六是黄帝和嫘祖结婚纪念日，为缅怀嫘祖功德，2012年7月第十二届嫘祖文化节恭拜嫘祖仪式在河南新郑始祖山顶嫘祖宫前举行。此外，境内还有裴李岗遗址、郑国车马坑、郑韩故城、具茨山、郑风苑、黄帝古枣园等景点。,双鹤湖中央公园,黄帝故里,始祖山风景区
仓山,168,Cangshan District,1305,仓山区位于福建省福州市区南部南台岛上，四面环江，素有“琼花玉岛”之美称。仓山拥有多元化的旅游景观，能够满足不同游客的需求。如果你是一个自然爱好者，你可以到金山公园、烟山公园、城山猪姆猪仔风动石等景点放松身心；如果你迷恋于历史文化，那么外国领事馆聚集的烟台山地区、琉球墓园、安澜会馆将是你的必访之地；如果你对民国文人感兴趣，不妨去严复故居、蔡襄祠堂、陈若霖墓游览一番。,泛船浦天主教堂,农林大学,花海公园
芷江,169,Zhijiang,1177,芷江侗族自治县，位于湖南省西部，地处武陵山系南麓云贵高原东部余脉延伸地带，东邻中方县、鹤城区，南接洪江市、会同县，西连新晃侗族自治县及贵州省万山特区，北界麻阳苗族自治县及贵州省铜仁市。县城芷江镇距怀化市仅39公里。素有“滇黔门户、黔楚咽喉”之称。,芷江龙津风雨桥,芷江受降纪念坊,陈纳德与飞虎队纪念馆
井陉,170,Jingxing County,1231,井陉县地处太行山东麓，河北省西陲。井陉以地形而得名，境内崇山峻岭，地势险要，素有“太行八陉之第五陉，天下九塞之第六塞”之称乃冀通衢要冲，历代兵家必争之地。井陉名胜古迹众多，境内有驰名中外的国家级风景名胜区苍岩山，黄栌遍野的仙台山，此外，背水古战场、宋代古城、宋金壁画墓群、千佛岩石雕等数不胜数的自然、人文景观。,苍岩山国家级风景名胜区,石头村,石家庄井陉县仙台山风景区
凤城,171,Fengcheng City,1525,凤城市位于辽宁省东部，是丹东市代管的一个县级市。北邻本溪满族自治县，南与丹东市振安区和东港市接壤，东靠宽甸满族自治县，西与辽阳县、岫岩满族自治县毗连。森林覆盖率高，山多林密，野生资源繁多，动植物种类多样。矿产资源丰富，砂金和脉金储量较大，是全国黄金众多产区之一。历史悠久，境内旅游资源丰富。有国家4A级风景名胜区凤凰山，玉龙湖、浦石河原始森林、大梨树花果山、赛马溶洞群、爱河鸽子洞、东汤温泉和古遗址、古城堡等旅游景点。,凤凰山,蒲石河森林公园,大梨树生态旅游区
吉安乡,172,Ji'an,1193,吉安乡位于台湾花莲县东部北段，北临花莲市，东滨太平洋，西邻秀林乡，南接寿丰乡，为花莲县人口第二多的乡镇，仅次于花莲市。吉安乡过去是阿美族人蟠居之地，昔时阿美族人发现此地薪柴很多，于是称为「知卡宣」。境内气候条件优越，土壤肥沃，农业发达，花莲市三分之二蔬菜量靠吉安乡供应。境内的旅游景点有庆修院、吉安乡横断道路开凿纪念碑、胜安宫、慈惠堂、佛兴寺、南华观光花园郁金香花园、阿美文化村、秀朗兰园等等。,吉安庆修院,慈济大学,阿美文化村
河口瑶族自治县,173,Yao Autonomous County of Hekou,1221,河口夏日长，湿度大，雨量充沛，森林资源得天独厚，南溪河两岸都是热带原始沟谷雨林景观，动植物资源丰富，种类繁多，尤以江河、溶洞景观、瑶族风情著称，现辟建南溪河省级风景区。鳖和黄鱼是红河的特产，在这里还可以品尝到一些越南的土特产和风味小吃。河口的南溪河漂流极具挑战性，它集冒险、健身、娱乐、休闲、游山玩水等为一体，使游客焕发历险克难的勇气和智慧，感受游山玩水的痛快。水急滩险，集中了6个险滩和40多个急滩，此起彼伏，惊险刺激。中段波平水缓，徜徉其中，心旷神怡。下段八九公里，是中越边界河。并且中国西南地区进入东南亚最便捷的陆地通道之一。,河口南溪河漂流,花鱼洞国家森林公园, 
